Classe;Idade;Sexo;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
Primeira;adulto;Masculino;Não sobreviveu
