y,capacete,engate,genero,posicao
correto,modular,serrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,modular,naoserrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,modular,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,duploanel,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,fechado,duploanel,masculino,condutor
correto,fechado,duploanel,masculino,condutor
incorreto,fechado,duploanel,masculino,condutor
correto,modular,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,duploanel,masculino,condutor
correto,fechado,indeterminado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,indeterminado,masculino,condutor
incorreto,fechado,serrilhado,masculino,condutor
incorreto,aberto,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,passageiro
correto,fechado,serrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,duploanel,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,passageiro
incorreto,modular,duploanel,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
incorreto,modular,naoserrilhado,feminino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,fechado,indeterminado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,modular,serrilhado,masculino,condutor
incorreto,fechado,duploanel,masculino,condutor
correto,aberto,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,aberto,indeterminado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,duploanel,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,aberto,serrilhado,feminino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
incorreto,fechado,duploanel,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,feminino,passageiro
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,serrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,modular,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
incorreto,fechado,duploanel,masculino,condutor
correto,fechado,indeterminado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
incorreto,aberto,naoserrilhado,feminino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,fechado,indeterminado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
correto,fechado,duploanel,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
correto,fechado,serrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,fechado,indeterminado,masculino,condutor
incorreto,fechado,naoserrilhado,masculino,condutor
correto,aberto,serrilhado,masculino,condutor
incorreto,fechado,naoserrilhado,feminino,passageiro
incorreto,fechado,serrilhado,masculino,condutor
correto,fechado,naoserrilhado,masculino,condutor
